Number of bins:192
Bin Center[keV],Bin Width[keV],Counts
1.20573,0.411458,2403
1.61719,0.411458,2262
2.02865,0.411458,2177
2.4401,0.411458,2152
2.85156,0.411458,2189
3.26302,0.411458,2132
3.67448,0.411458,2140
4.08594,0.411458,2195
4.4974,0.411458,2186
4.90885,0.411458,2327
5.32031,0.411458,2149
5.73177,0.411458,2321
6.14323,0.411458,2259
6.55469,0.411458,2292
6.96615,0.411458,2368
7.3776,0.411458,2402
7.78906,0.411458,2452
8.20052,0.411458,2454
8.61198,0.411458,2389
9.02344,0.411458,2502
9.4349,0.411458,2439
9.84635,0.411458,2420
10.2578,0.411458,2504
10.6693,0.411458,2576
11.0807,0.411458,2508
11.4922,0.411458,2475
11.9036,0.411458,2389
12.3151,0.411458,2396
12.7266,0.411458,2281
13.138,0.411458,2260
13.5495,0.411458,2282
13.9609,0.411458,2130
14.3724,0.411458,2187
14.7839,0.411458,2063
15.1953,0.411458,1987
15.6068,0.411458,1887
16.0182,0.411458,1942
16.4297,0.411458,1820
16.8411,0.411458,1859
17.2526,0.411458,1714
17.6641,0.411458,1646
18.0755,0.411458,1650
18.487,0.411458,1547
18.8984,0.411458,1620
19.3099,0.411458,1474
19.7214,0.411458,1486
20.1328,0.411458,1409
20.5443,0.411458,1372
20.9557,0.411458,1341
21.3672,0.411458,1277
21.7786,0.411458,1306
22.1901,0.411458,1265
22.6016,0.411458,1234
23.013,0.411458,1214
23.4245,0.411458,1166
23.8359,0.411458,1202
24.2474,0.411458,1086
24.6589,0.411458,1119
25.0703,0.411458,1127
25.4818,0.411458,1047
25.8932,0.411458,965
26.3047,0.411458,969
26.7161,0.411458,927
27.1276,0.411458,922
27.5391,0.411458,962
27.9505,0.411458,905
28.362,0.411458,966
28.7734,0.411458,901
29.1849,0.411458,923
29.5964,0.411458,791
30.0078,0.411458,848
30.4193,0.411458,851
30.8307,0.411458,778
31.2422,0.411458,805
31.6536,0.411458,775
32.0651,0.411458,745
32.4766,0.411458,757
32.888,0.411458,742
33.2995,0.411458,735
33.7109,0.411458,695
34.1224,0.411458,656
34.5339,0.411458,644
34.9453,0.411458,671
35.3568,0.411458,701
35.7682,0.411458,619
36.1797,0.411458,626
36.5911,0.411458,647
37.0026,0.411458,580
37.4141,0.411458,600
37.8255,0.411458,601
38.237,0.411458,591
38.6484,0.411458,568
39.0599,0.411458,574
39.4714,0.411458,573
39.8828,0.411458,509
40.2943,0.411458,549
40.7057,0.411458,478
41.1172,0.411458,499
41.5286,0.411458,453
41.9401,0.411458,506
42.3516,0.411458,491
42.763,0.411458,482
43.1745,0.411458,461
43.5859,0.411458,419
43.9974,0.411458,430
44.4089,0.411458,412
44.8203,0.411458,457
45.2318,0.411458,433
45.6432,0.411458,448
46.0547,0.411458,450
46.4661,0.411458,449
46.8776,0.411458,418
47.2891,0.411458,388
47.7005,0.411458,362
48.112,0.411458,378
48.5234,0.411458,389
48.9349,0.411458,370
49.3464,0.411458,402
49.7578,0.411458,336
50.1693,0.411458,341
50.5807,0.411458,366
50.9922,0.411458,355
51.4036,0.411458,397
51.8151,0.411458,397
52.2266,0.411458,330
52.638,0.411458,342
53.0495,0.411458,363
53.4609,0.411458,309
53.8724,0.411458,342
54.2839,0.411458,333
54.6953,0.411458,331
55.1068,0.411458,301
55.5182,0.411458,301
55.9297,0.411458,332
56.3411,0.411458,306
56.7526,0.411458,297
57.1641,0.411458,279
57.5755,0.411458,272
57.987,0.411458,286
58.3984,0.411458,288
58.8099,0.411458,290
59.2214,0.411458,251
59.6328,0.411458,267
60.0443,0.411458,257
60.4557,0.411458,273
60.8672,0.411458,276
61.2786,0.411458,263
61.6901,0.411458,256
62.1016,0.411458,269
62.513,0.411458,248
62.9245,0.411458,245
63.3359,0.411458,255
63.7474,0.411458,250
64.1589,0.411458,213
64.5703,0.411458,221
64.9818,0.411458,228
65.3932,0.411458,218
65.8047,0.411458,202
66.2161,0.411458,214
66.6276,0.411458,234
67.0391,0.411458,231
67.4505,0.411458,200
67.862,0.411458,210
68.2734,0.411458,198
68.6849,0.411458,197
69.0964,0.411458,187
69.5078,0.411458,205
69.9193,0.411458,184
70.3307,0.411458,204
70.7422,0.411458,196
71.1536,0.411458,188
71.5651,0.411458,203
71.9766,0.411458,187
72.388,0.411458,181
72.7995,0.411458,181
73.2109,0.411458,181
73.6224,0.411458,148
74.0339,0.411458,166
74.4453,0.411458,173
74.8568,0.411458,180
75.2682,0.411458,187
75.6797,0.411458,176
76.0911,0.411458,180
76.5026,0.411458,173
76.9141,0.411458,153
77.3255,0.411458,181
77.737,0.411458,151
78.1484,0.411458,168
78.5599,0.411458,135
78.9714,0.411458,165
79.3828,0.411458,129
79.7943,0.411458,165
