Number of bins:192
Bin Center[keV],Bin Width[keV],Counts
1.20573,0.411458,2458
1.61719,0.411458,2400
2.02865,0.411458,2187
2.4401,0.411458,2107
2.85156,0.411458,2004
3.26302,0.411458,1841
3.67448,0.411458,1880
4.08594,0.411458,1721
4.4974,0.411458,1837
4.90885,0.411458,1661
5.32031,0.411458,1764
5.73177,0.411458,1761
6.14323,0.411458,1644
6.55469,0.411458,1645
6.96615,0.411458,1699
7.3776,0.411458,1631
7.78906,0.411458,1660
8.20052,0.411458,1607
8.61198,0.411458,1635
9.02344,0.411458,1608
9.4349,0.411458,1575
9.84635,0.411458,1560
10.2578,0.411458,1467
10.6693,0.411458,1530
11.0807,0.411458,1518
11.4922,0.411458,1427
11.9036,0.411458,1467
12.3151,0.411458,1399
12.7266,0.411458,1392
13.138,0.411458,1309
13.5495,0.411458,1296
13.9609,0.411458,1284
14.3724,0.411458,1213
14.7839,0.411458,1197
15.1953,0.411458,1156
15.6068,0.411458,1130
16.0182,0.411458,1038
16.4297,0.411458,1052
16.8411,0.411458,1009
17.2526,0.411458,982
17.6641,0.411458,892
18.0755,0.411458,907
18.487,0.411458,858
18.8984,0.411458,859
19.3099,0.411458,848
19.7214,0.411458,829
20.1328,0.411458,764
20.5443,0.411458,739
20.9557,0.411458,761
21.3672,0.411458,744
21.7786,0.411458,707
22.1901,0.411458,713
22.6016,0.411458,676
23.013,0.411458,626
23.4245,0.411458,634
23.8359,0.411458,593
24.2474,0.411458,622
24.6589,0.411458,626
25.0703,0.411458,619
25.4818,0.411458,568
25.8932,0.411458,535
26.3047,0.411458,537
26.7161,0.411458,570
27.1276,0.411458,494
27.5391,0.411458,546
27.9505,0.411458,477
28.362,0.411458,465
28.7734,0.411458,480
29.1849,0.411458,517
29.5964,0.411458,424
30.0078,0.411458,461
30.4193,0.411458,384
30.8307,0.411458,414
31.2422,0.411458,443
31.6536,0.411458,376
32.0651,0.411458,377
32.4766,0.411458,405
32.888,0.411458,332
33.2995,0.411458,367
33.7109,0.411458,340
34.1224,0.411458,351
34.5339,0.411458,383
34.9453,0.411458,316
35.3568,0.411458,325
35.7682,0.411458,335
36.1797,0.411458,340
36.5911,0.411458,328
37.0026,0.411458,295
37.4141,0.411458,317
37.8255,0.411458,320
38.237,0.411458,297
38.6484,0.411458,275
39.0599,0.411458,276
39.4714,0.411458,258
39.8828,0.411458,281
40.2943,0.411458,284
40.7057,0.411458,274
41.1172,0.411458,254
41.5286,0.411458,264
41.9401,0.411458,273
42.3516,0.411458,239
42.763,0.411458,253
43.1745,0.411458,230
43.5859,0.411458,233
43.9974,0.411458,230
44.4089,0.411458,205
44.8203,0.411458,238
45.2318,0.411458,221
45.6432,0.411458,194
46.0547,0.411458,211
46.4661,0.411458,214
46.8776,0.411458,216
47.2891,0.411458,158
47.7005,0.411458,186
48.112,0.411458,228
48.5234,0.411458,192
48.9349,0.411458,181
49.3464,0.411458,174
49.7578,0.411458,167
50.1693,0.411458,185
50.5807,0.411458,183
50.9922,0.411458,183
51.4036,0.411458,171
51.8151,0.411458,162
52.2266,0.411458,162
52.638,0.411458,154
53.0495,0.411458,164
53.4609,0.411458,177
53.8724,0.411458,140
54.2839,0.411458,164
54.6953,0.411458,167
55.1068,0.411458,155
55.5182,0.411458,138
55.9297,0.411458,131
56.3411,0.411458,158
56.7526,0.411458,135
57.1641,0.411458,155
57.5755,0.411458,143
57.987,0.411458,117
58.3984,0.411458,139
58.8099,0.411458,137
59.2214,0.411458,137
59.6328,0.411458,134
60.0443,0.411458,129
60.4557,0.411458,130
60.8672,0.411458,140
61.2786,0.411458,127
61.6901,0.411458,136
62.1016,0.411458,119
62.513,0.411458,105
62.9245,0.411458,125
63.3359,0.411458,101
63.7474,0.411458,108
64.1589,0.411458,132
64.5703,0.411458,113
64.9818,0.411458,100
65.3932,0.411458,107
65.8047,0.411458,101
66.2161,0.411458,116
66.6276,0.411458,111
67.0391,0.411458,97
67.4505,0.411458,96
67.862,0.411458,108
68.2734,0.411458,91
68.6849,0.411458,104
69.0964,0.411458,89
69.5078,0.411458,90
69.9193,0.411458,82
70.3307,0.411458,80
70.7422,0.411458,99
71.1536,0.411458,87
71.5651,0.411458,67
71.9766,0.411458,86
72.388,0.411458,79
72.7995,0.411458,84
73.2109,0.411458,74
73.6224,0.411458,85
74.0339,0.411458,80
74.4453,0.411458,86
74.8568,0.411458,84
75.2682,0.411458,96
75.6797,0.411458,84
76.0911,0.411458,80
76.5026,0.411458,75
76.9141,0.411458,74
77.3255,0.411458,81
77.737,0.411458,82
78.1484,0.411458,76
78.5599,0.411458,72
78.9714,0.411458,75
79.3828,0.411458,70
79.7943,0.411458,71
