Number of bins:192
Bin Center[keV],Bin Width[keV],Counts
1.20573,0.411458,1558
1.61719,0.411458,1577
2.02865,0.411458,1597
2.4401,0.411458,1445
2.85156,0.411458,1418
3.26302,0.411458,1357
3.67448,0.411458,1335
4.08594,0.411458,1324
4.4974,0.411458,1246
4.90885,0.411458,1240
5.32031,0.411458,1146
5.73177,0.411458,1191
6.14323,0.411458,1161
6.55469,0.411458,1163
6.96615,0.411458,1108
7.3776,0.411458,1153
7.78906,0.411458,1188
8.20052,0.411458,1073
8.61198,0.411458,1144
9.02344,0.411458,1163
9.4349,0.411458,1097
9.84635,0.411458,1033
10.2578,0.411458,1032
10.6693,0.411458,1007
11.0807,0.411458,995
11.4922,0.411458,993
11.9036,0.411458,943
12.3151,0.411458,951
12.7266,0.411458,917
13.138,0.411458,882
13.5495,0.411458,829
13.9609,0.411458,788
14.3724,0.411458,800
14.7839,0.411458,756
15.1953,0.411458,701
15.6068,0.411458,719
16.0182,0.411458,714
16.4297,0.411458,672
16.8411,0.411458,624
17.2526,0.411458,623
17.6641,0.411458,625
18.0755,0.411458,616
18.487,0.411458,548
18.8984,0.411458,581
19.3099,0.411458,562
19.7214,0.411458,526
20.1328,0.411458,499
20.5443,0.411458,507
20.9557,0.411458,471
21.3672,0.411458,484
21.7786,0.411458,438
22.1901,0.411458,460
22.6016,0.411458,416
23.013,0.411458,408
23.4245,0.411458,395
23.8359,0.411458,355
24.2474,0.411458,392
24.6589,0.411458,350
25.0703,0.411458,378
25.4818,0.411458,392
25.8932,0.411458,328
26.3047,0.411458,339
26.7161,0.411458,310
27.1276,0.411458,295
27.5391,0.411458,300
27.9505,0.411458,311
28.362,0.411458,299
28.7734,0.411458,295
29.1849,0.411458,262
29.5964,0.411458,277
30.0078,0.411458,246
30.4193,0.411458,272
30.8307,0.411458,262
31.2422,0.411458,255
31.6536,0.411458,232
32.0651,0.411458,235
32.4766,0.411458,210
32.888,0.411458,241
33.2995,0.411458,231
33.7109,0.411458,211
34.1224,0.411458,188
34.5339,0.411458,183
34.9453,0.411458,237
35.3568,0.411458,191
35.7682,0.411458,212
36.1797,0.411458,194
36.5911,0.411458,168
37.0026,0.411458,188
37.4141,0.411458,191
37.8255,0.411458,160
38.237,0.411458,184
38.6484,0.411458,199
39.0599,0.411458,166
39.4714,0.411458,154
39.8828,0.411458,169
40.2943,0.411458,141
40.7057,0.411458,175
41.1172,0.411458,154
41.5286,0.411458,147
41.9401,0.411458,141
42.3516,0.411458,159
42.763,0.411458,132
43.1745,0.411458,149
43.5859,0.411458,133
43.9974,0.411458,150
44.4089,0.411458,119
44.8203,0.411458,117
45.2318,0.411458,113
45.6432,0.411458,131
46.0547,0.411458,128
46.4661,0.411458,101
46.8776,0.411458,125
47.2891,0.411458,119
47.7005,0.411458,126
48.112,0.411458,109
48.5234,0.411458,114
48.9349,0.411458,114
49.3464,0.411458,120
49.7578,0.411458,97
50.1693,0.411458,104
50.5807,0.411458,81
50.9922,0.411458,81
51.4036,0.411458,91
51.8151,0.411458,85
52.2266,0.411458,82
52.638,0.411458,105
53.0495,0.411458,89
53.4609,0.411458,81
53.8724,0.411458,96
54.2839,0.411458,78
54.6953,0.411458,77
55.1068,0.411458,85
55.5182,0.411458,73
55.9297,0.411458,71
56.3411,0.411458,75
56.7526,0.411458,76
57.1641,0.411458,64
57.5755,0.411458,53
57.987,0.411458,84
58.3984,0.411458,56
58.8099,0.411458,76
59.2214,0.411458,65
59.6328,0.411458,75
60.0443,0.411458,62
60.4557,0.411458,69
60.8672,0.411458,66
61.2786,0.411458,68
61.6901,0.411458,69
62.1016,0.411458,69
62.513,0.411458,50
62.9245,0.411458,64
63.3359,0.411458,54
63.7474,0.411458,51
64.1589,0.411458,56
64.5703,0.411458,62
64.9818,0.411458,61
65.3932,0.411458,48
65.8047,0.411458,63
66.2161,0.411458,58
66.6276,0.411458,52
67.0391,0.411458,47
67.4505,0.411458,53
67.862,0.411458,48
68.2734,0.411458,50
68.6849,0.411458,56
69.0964,0.411458,50
69.5078,0.411458,49
69.9193,0.411458,51
70.3307,0.411458,37
70.7422,0.411458,30
71.1536,0.411458,49
71.5651,0.411458,50
71.9766,0.411458,39
72.388,0.411458,51
72.7995,0.411458,43
73.2109,0.411458,53
73.6224,0.411458,42
74.0339,0.411458,45
74.4453,0.411458,37
74.8568,0.411458,41
75.2682,0.411458,61
75.6797,0.411458,29
76.0911,0.411458,51
76.5026,0.411458,42
76.9141,0.411458,41
77.3255,0.411458,41
77.737,0.411458,30
78.1484,0.411458,37
78.5599,0.411458,39
78.9714,0.411458,29
79.3828,0.411458,22
79.7943,0.411458,31
